band_index,wavelength_nm,mean,std,valid_ratio
0,376.44,0.11676737,0.015615848,0.7388568188201117
1,381.41,0.12816542,0.014240968,0.7388568188201117
2,386.38,0.12659161,0.014631636,0.7388568188201117
3,391.35,0.13130532,0.016217668,0.7388568188201117
4,396.32,0.13329399,0.018486135,0.7388568188201117
5,401.29,0.13911399,0.02144317,0.7388568188201117
6,406.26,0.14078313,0.023196531,0.7388568188201117
7,411.23,0.13848038,0.024106992,0.7388568188201117
8,416.21,0.1402454,0.025022907,0.7388568188201117
9,421.18,0.13884367,0.025447639,0.7388568188201117
10,426.16,0.13790269,0.025907261,0.7388568188201117
11,431.14,0.13696972,0.026371377,0.7388568188201117
12,436.12,0.1398195,0.02730357,0.7388568188201117
13,441.1,0.1381035,0.027773773,0.7388568188201117
14,446.08,0.13462627,0.027800111,0.7388568188201117
15,451.06,0.1361703,0.028441757,0.7388568188201117
16,456.04,0.13752142,0.029094825,0.7388568188201117
17,461.02,0.13589267,0.029389529,0.7388568188201117
18,466.01,0.13664633,0.029939208,0.7388568188201117
19,470.99,0.1361715,0.030381113,0.7388568188201117
20,475.98,0.13614722,0.030854914,0.7388568188201117
21,480.96,0.1358626,0.031173559,0.7388568188201117
22,485.95,0.13591368,0.031654038,0.7388568188201117
23,490.93,0.13647963,0.03219315,0.7388568188201117
24,495.92,0.13518539,0.032253817,0.7388568188201117
25,500.91,0.13728888,0.03299649,0.7388568188201117
26,505.9,0.13744089,0.0331941,0.7388568188201117
27,510.89,0.13928962,0.03351691,0.7388568188201117
28,515.88,0.14103805,0.03372096,0.7388568188201117
29,520.87,0.14437808,0.03387945,0.7388568188201117
30,525.87,0.14649157,0.03367621,0.7388568188201117
31,530.86,0.14797787,0.03345656,0.7388568188201117
32,535.85,0.15002623,0.03343866,0.7388568188201117
33,540.85,0.15137596,0.03352637,0.7388568188201117
34,545.84,0.15131485,0.033461913,0.7388568188201117
35,550.84,0.15238403,0.033612944,0.7388568188201117
36,555.83,0.15376584,0.033925314,0.7388568188201117
37,560.83,0.15391192,0.034352183,0.7388568188201117
38,565.83,0.15373929,0.03486502,0.7388568188201117
39,570.83,0.15305324,0.035519514,0.7388568188201117
40,575.82,0.15285446,0.03628477,0.7388568188201117
41,580.82,0.15178013,0.036775865,0.7388568188201117
42,585.82,0.14908144,0.03667453,0.7388568188201117
43,590.82,0.14772989,0.036961764,0.7388568188201117
44,595.82,0.1469705,0.037051342,0.7388568188201117
45,600.82,0.14863965,0.03760868,0.7388568188201117
46,605.82,0.14899312,0.038067743,0.7388568188201117
47,610.82,0.14895956,0.038547777,0.7388568188201117
48,615.83,0.14823666,0.03894298,0.7388568188201117
49,620.83,0.14731044,0.03916984,0.7388568188201117
50,625.83,0.14766748,0.03954232,0.7388568188201117
51,630.83,0.1473329,0.039777607,0.7388568188201117
52,635.84,0.14624192,0.039930142,0.7388568188201117
53,640.84,0.14511813,0.04005065,0.7388568188201117
54,645.85,0.14391656,0.04031975,0.7388568188201117
55,650.85,0.141989,0.04061784,0.7388568188201117
56,655.86,0.14199345,0.041252848,0.7388568188201117
57,660.86,0.13629717,0.040484667,0.7388568188201117
58,665.87,0.1359243,0.0409911,0.7388568188201117
59,670.87,0.13957514,0.042375483,0.7388568188201117
60,675.88,0.14294048,0.04344945,0.7388568188201117
61,680.89,0.14375062,0.043640666,0.7388568188201117
62,685.89,0.14589323,0.04378904,0.7388568188201117
63,690.9,0.14595306,0.04220529,0.7388568188201117
64,695.91,0.14758116,0.03996027,0.7388568188201117
65,700.91,0.15358604,0.037775893,0.7388568188201117
66,705.92,0.16137604,0.035542164,0.7388568188201117
67,710.93,0.16943604,0.03384886,0.7388568188201117
68,715.94,0.1728653,0.032704033,0.7388568188201117
69,720.95,0.17520969,0.03303008,0.7388568188201117
70,725.96,0.18198816,0.0338153,0.7388568188201117
71,730.97,0.19177939,0.035559285,0.7388568188201117
72,735.98,0.20506512,0.038526364,0.7388568188201117
73,740.98,0.21805793,0.042529006,0.7388568188201117
74,745.99,0.22630611,0.045515273,0.7388568188201117
75,751.0,0.23118564,0.047597367,0.7388568188201117
76,756.02,0.23372532,0.048158105,0.7388568188201117
77,761.02,0.22997685,0.047269724,0.7388568188201117
78,766.04,0.2347043,0.0495495,0.7388568188201117
79,771.05,0.2391633,0.051331583,0.7388568188201117
80,776.06,0.24032314,0.051925216,0.7388568188201117
81,781.07,0.24088106,0.051997975,0.7388568188201117
82,786.08,0.24009909,0.051465306,0.7388568188201117
83,791.09,0.23971589,0.05098165,0.7388568188201117
84,796.1,0.23971221,0.050772756,0.7388568188201117
85,801.12,0.2398274,0.050539,0.7388568188201117
86,806.13,0.23960696,0.05056905,0.7388568188201117
87,811.14,0.23795094,0.050397083,0.7388568188201117
88,816.15,0.23484713,0.0504264,0.7388568188201117
89,821.16,0.23582049,0.050977156,0.7388568188201117
90,826.18,0.2372738,0.05168936,0.7388568188201117
91,831.19,0.23858404,0.05267184,0.7388568188201117
92,836.2,0.24025469,0.053592,0.7388568188201117
93,841.21,0.24187136,0.05425717,0.7388568188201117
94,846.23,0.24301723,0.054820895,0.7388568188201117
95,851.24,0.24332984,0.055240672,0.7388568188201117
96,856.25,0.2433435,0.055969037,0.7388568188201117
97,861.26,0.2439564,0.05665782,0.7388568188201117
98,866.28,0.2435318,0.057068896,0.7388568188201117
99,871.29,0.24321198,0.05757681,0.7388568188201117
