path,type,shape,dtype,attrs
HDFEOS,group,,,{}
HDFEOS/ADDITIONAL,group,,,{}
HDFEOS/ADDITIONAL/FILE_ATTRIBUTES,group,,,{}
HDFEOS/GRIDS,group,,,{}
HDFEOS/GRIDS/HYP,group,,,"{'created_at': '2025-12-05T23:40:56.658879+00:00', 'epsg_code': '32648', 'strip_id': '20250407_035451_00_4001_strip'}"
HDFEOS/GRIDS/HYP/Data Fields,group,,,{}
HDFEOS/GRIDS/HYP/Data Fields/aerosol_optical_depth,dataset,"(717, 789)",float32,"{'Unit': 'Unitless', '_FillValue': '-9999.0'}"
HDFEOS/GRIDS/HYP/Data Fields/beta_cirrus_mask,dataset,"(717, 789)",uint8,{'_FillValue': '255'}
HDFEOS/GRIDS/HYP/Data Fields/beta_cloud_mask,dataset,"(717, 789)",uint8,{'_FillValue': '255'}
HDFEOS/GRIDS/HYP/Data Fields/column_water_vapour,dataset,"(717, 789)",float32,"{'Unit': 'g/cm^2', '_FillValue': '-9999.0'}"
HDFEOS/GRIDS/HYP/Data Fields/nodata_pixels,dataset,"(717, 789)",uint8,{'_FillValue': '255'}
HDFEOS/GRIDS/HYP/Data Fields/sensor_azimuth,dataset,"(717, 789)",float32,"{'Unit': 'Decimal Degrees', '_FillValue': '-9999.0'}"
HDFEOS/GRIDS/HYP/Data Fields/sensor_to_ground_path_length,dataset,"(717, 789)",float32,"{'Unit': 'Meters', '_FillValue': '-9999.0'}"
HDFEOS/GRIDS/HYP/Data Fields/sensor_zenith,dataset,"(717, 789)",float32,"{'Unit': 'Decimal Degrees', '_FillValue': '-9999.0'}"
HDFEOS/GRIDS/HYP/Data Fields/sun_azimuth,dataset,"(717, 789)",float32,"{'Unit': 'Decimal Degrees', '_FillValue': '-9999.0'}"
HDFEOS/GRIDS/HYP/Data Fields/sun_zenith,dataset,"(717, 789)",float32,"{'Unit': 'Decimal Degrees', '_FillValue': '-9999.0'}"
HDFEOS/GRIDS/HYP/Data Fields/surface_reflectance,dataset,"(426, 717, 789)",float32,"{'Unit': 'Unitless', '_FillValue': '-9999.0', 'fwhm': '[5.39 5.42 5.45 5.48 5.52 5.55 5.58 5.6  5.63 5.66 5.69 5.72 5.75 5.77\n 5.8  5.82 5.85 5.88 5.9  5.92 5.95 5.97 5.99 6.02 6.04 6.06 6.08 6.1\n 6.13 6.15 6.17 6.19 6.2  6.22 6.24 6.26 6.28 6.3  6.31 6.33 6.35 6.36\n 6.38 6.39 6.41 6.42 6.44 6.45 6.46 6.48 6.49 6.5  6.52 6.53 6.54 6.55\n 6.56 6.57 6.59 6.6  6.61 6.62 6.62 6.63 6.64 6.65 6.66 6.67 6.68 6.68\n 6.69 6.7  6.71 6.71 6.72 6.72 6.73 6.74 6.74 6.75 6.75 6.76 6.76 6.76\n 6.77 6.77 6.78 6.78 6.78 6.79 6.79 6.79 6.79 6.8  6.8  6.8  6.8  6.8\n 6.8  6.8  6.8  6.81 6.81 6.81 6.81 6.81 6.81 6.81 6.81 6.8  6.8  6.8\n 6.8  6.8  6.8  6.8  6.79 6.79 6.79 6.79 6.79 6.78 6.78 6.78 6.78 6.77\n 6.77 6.77 6.76 6.76 6.76 6.75 6.75 6.74 6.74 6.74 6.73 6.73 6.72 6.72\n 6.71 6.71 6.7  6.7  6.69 6.69 6.68 6.68 6.67 6.67 6.66 6.66 6.65 6.64\n 6.64 6.63 6.63 6.62 6.62 6.61 6.6  6.6  6.59 6.58 6.58 6.57 6.56 6.56\n 6.55 6.54 6.54 6.53 6.52 6.52 6.51 6.5  6.5  6.49 6.48 6.47 6.47 6.46\n 6.45 6.45 6.44 6.43 6.42 6.42 6.41 6.4  6.39 6.39 6.38 6.37 6.37 6.36\n 6.35 6.34 6.34 6.33 6.32 6.31 6.31 6.3  6.29 6.28 6.28 6.27 6.26 6.25\n 6.25 6.24 6.23 6.22 6.22 6.21 6.2  6.19 6.19 6.18 6.17 6.16 6.16 6.15\n 6.14 6.13 6.13 6.12 6.11 6.1  6.1  6.09 6.08 6.08 6.07 6.06 6.05 6.05\n 6.04 6.03 6.03 6.02 6.01 6.01 6.   5.99 5.98 5.98 5.97 5.96 5.96 5.95\n 5.94 5.94 5.93 5.92 5.92 5.91 5.91 5.9  5.89 5.89 5.88 5.87 5.87 5.86\n 5.86 5.85 5.84 5.84 5.83 5.83 5.82 5.81 5.81 5.8  5.8  5.79 5.78 5.78\n 5.77 5.77 5.76 5.76 5.75 5.75 5.74 5.74 5.73 5.73 5.72 5.72 5.71 5.7\n 5.7  5.69 5.69 5.69 5.68 5.68 5.67 5.67 5.66 5.66 5.65 5.65 5.64 5.64\n 5.63 5.63 5.63 5.62 5.62 5.61 5.61 5.6  5.6  5.6  5.59 5.59 5.58 5.58\n 5.58 5.57 5.57 5.56 5.56 5.56 5.55 5.55 5.54 5.54 5.54 5.53 5.53 5.53\n 5.52 5.52 5.52 5.51 5.51 5.51 5.5  5.5  5.5  5.49 5.49 5.49 5.48 5.48\n 5.48 5.47 5.47 5.47 5.46 5.46 5.46 5.45 5.45 5.45 5.44 5.44 5.44 5.43\n 5.43 5.43 5.42 5.42 5.42 5.42 5.41 5.41 5.41 5.4  5.4  5.4  5.39 5.39\n 5.39 5.38 5.38 5.38 5.37 5.37 5.37 5.36 5.36 5.36 5.35 5.35 5.35 5.34\n 5.34 5.34 5.33 5.33 5.33 5.32 5.32 5.31 5.31 5.31 5.3  5.3  5.29 5.29\n 5.29 5.28 5.28 5.27 5.27 5.27 5.26 5.26 5.25 5.25 5.24 5.24 5.23 5.23\n 5.22 5.22 5.21 5.21 5.2  5.2 ]', 'fwhm_units': 'nm', 'good_wavelengths': '[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1\n 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1\n 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1\n 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1\n 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1\n 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1\n 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1\n 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0\n 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1\n 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1\n 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1\n 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]', 'wavelengths': '[ 376.44  381.41  386.38  391.35  396.32  401.29  406.26  411.23  416.21\n  421.18  426.16  431.14  436.12  441.1   446.08  451.06  456.04  461.02\n  466.01  470.99  475.98  480.96  485.95  490.93  495.92  500.91  505.9\n  510.89  515.88  520.87  525.87  530.86  535.85  540.85  545.84  550.84\n  555.83  560.83  565.83  570.83  575.82  580.82  585.82  590.82  595.82\n  600.82  605.82  610.82  615.83  620.83  625.83  630.83  635.84  640.84\n  645.85  650.85  655.86  660.86  665.87  670.87  675.88  680.89  685.89\n  690.9   695.91  700.91  705.92  710.93  715.94  720.95  725.96  730.97\n  735.98  740.98  745.99  751.    756.02  761.02  766.04  771.05  776.06\n  781.07  786.08  791.09  796.1   801.12  806.13  811.14  816.15  821.16\n  826.18  831.19  836.2   841.21  846.23  851.24  856.25  861.26  866.28\n  871.29  876.3   881.32  886.33  891.34  896.36  901.37  906.38  911.4\n  916.41  921.42  926.44  931.45  936.46  941.48  946.49  951.5   956.52\n  961.53  966.55  971.56  976.57  981.59  986.6   991.61  996.63 1001.64\n 1006.65 1011.67 1016.68 1021.69 1026.71 1031.72 1036.73 1041.75 1046.76\n 1051.77 1056.79 1061.8  1066.81 1071.83 1076.84 1081.85 1086.86 1091.88\n 1096.89 1101.9  1106.92 1111.93 1116.94 1121.95 1126.97 1131.98 1136.99\n 1142.   1147.01 1152.03 1157.04 1162.05 1167.06 1172.07 1177.08 1182.1\n 1187.11 1192.12 1197.13 1202.14 1207.15 1212.16 1217.17 1222.18 1227.2\n 1232.21 1237.22 1242.23 1247.24 1252.25 1257.26 1262.27 1267.28 1272.29\n 1277.3  1282.31 1287.32 1292.33 1297.33 1302.34 1307.35 1312.36 1317.37\n 1322.38 1327.39 1332.4  1337.4  1342.41 1347.42 1352.43 1357.44 1362.44\n 1367.45 1372.46 1377.47 1382.47 1387.48 1392.49 1397.5  1402.5  1407.51\n 1412.52 1417.52 1422.53 1427.53 1432.54 1437.55 1442.55 1447.56 1452.56\n 1457.57 1462.57 1467.58 1472.58 1477.59 1482.59 1487.6  1492.6  1497.61\n 1502.61 1507.61 1512.62 1517.62 1522.63 1527.63 1532.63 1537.64 1542.64\n 1547.64 1552.64 1557.65 1562.65 1567.65 1572.65 1577.65 1582.66 1587.66\n 1592.66 1597.66 1602.66 1607.66 1612.66 1617.66 1622.66 1627.66 1632.66\n 1637.66 1642.66 1647.66 1652.66 1657.66 1662.66 1667.66 1672.66 1677.66\n 1682.66 1687.65 1692.65 1697.65 1702.65 1707.64 1712.64 1717.64 1722.64\n 1727.63 1732.63 1737.62 1742.62 1747.62 1752.61 1757.61 1762.6  1767.6\n 1772.59 1777.59 1782.58 1787.58 1792.57 1797.56 1802.56 1807.55 1812.54\n 1817.54 1822.53 1827.52 1832.51 1837.51 1842.5  1847.49 1852.48 1857.47\n 1862.46 1867.45 1872.44 1877.43 1882.42 1887.41 1892.4  1897.39 1902.38\n 1907.37 1912.36 1917.35 1922.33 1927.32 1932.31 1937.3  1942.28 1947.27\n 1952.26 1957.24 1962.23 1967.21 1972.2  1977.18 1982.17 1987.15 1992.14\n 1997.12 2002.1  2007.09 2012.07 2017.05 2022.04 2027.02 2032.   2036.98\n 2041.96 2046.95 2051.93 2056.91 2061.89 2066.87 2071.85 2076.83 2081.81\n 2086.79 2091.76 2096.74 2101.72 2106.7  2111.67 2116.65 2121.63 2126.6\n 2131.58 2136.56 2141.53 2146.51 2151.48 2156.46 2161.43 2166.41 2171.38\n 2176.35 2181.33 2186.3  2191.27 2196.24 2201.22 2206.19 2211.16 2216.13\n 2221.1  2226.07 2231.04 2236.01 2240.98 2245.95 2250.92 2255.89 2260.86\n 2265.82 2270.79 2275.76 2280.73 2285.69 2290.66 2295.62 2300.59 2305.56\n 2310.52 2315.49 2320.45 2325.41 2330.38 2335.34 2340.31 2345.27 2350.23\n 2355.19 2360.16 2365.12 2370.08 2375.04 2380.   2384.97 2389.93 2394.89\n 2399.85 2404.81 2409.77 2414.72 2419.68 2424.64 2429.6  2434.56 2439.52\n 2444.48 2449.43 2454.39 2459.35 2464.31 2469.26 2474.22 2479.18 2484.13\n 2489.09 2494.04 2499.  ]', 'wavelengths_units': 'nm'}"
HDFEOS/GRIDS/HYP/Data Fields/surface_reflectance_uncertainty,dataset,"(426, 717, 789)",float32,"{'Unit': 'Unitless', '_FillValue': '-9999.0'}"
HDFEOS/GRIDS/HYP/Data Fields/time,dataset,"(717, 789)",float64,"{'Unit': 'UTC', '_FillValue': '-9999.0'}"
HDFEOS INFORMATION,group,,,"{'HDFEOSVersion': ""b'HDFEOS_5.1.15'""}"
HDFEOS INFORMATION/StructMetadata.0,dataset,(),|S32000,{}
